date,users_active,total_sales,new_customers,report_date,report_time,percent_customer_change_per_day(%),sales_growth_rate(%),avg_sales_per_user($)
2023-08-06,357,35373.18,4,2023-08-06,16:00:00,45.71,-9.79,99.08
2023-08-07,259,71681.48,11,2023-08-07,16:00:00,-27.45,102.64,276.76
2023-08-08,73,23864.02,5,2023-08-08,16:00:00,-71.81,-66.71,326.9
2023-08-09,324,50388.98,5,2023-08-09,16:00:00,343.84,111.15,155.52
2023-08-10,426,54543.21,5,2023-08-10,16:00:00,31.48,8.24,128.04
2023-08-11,243,76638.5,2,2023-08-11,16:00:00,-42.96,40.51,315.38
2023-08-12,202,85415.0,14,2023-08-12,16:00:00,-16.87,11.45,422.85
2023-08-13,436,72075.8,8,2023-08-13,16:00:00,115.84,-15.62,165.31
2023-08-14,365,76699.61,2,2023-08-14,16:00:00,-16.28,6.42,210.14
2023-08-15,432,21972.66,10,2023-08-15,16:00:00,18.36,-71.35,50.86
2023-08-16,386,72777.46,7,2023-08-16,16:00:00,-10.65,231.22,188.54
2023-08-17,146,49619.28,7,2023-08-17,16:00:00,-62.18,-31.82,339.86
2023-08-18,104,26609.8,13,2023-08-18,16:00:00,-28.77,-46.37,255.86
2023-08-19,485,47208.16,4,2023-08-19,16:00:00,366.35,77.41,97.34
2023-08-20,153,38011.53,3,2023-08-20,16:00:00,-68.45,-19.48,248.44
2023-08-21,224,36478.5,10,2023-08-21,16:00:00,46.41,-4.03,162.85
2023-08-22,88,39029.3,1,2023-08-22,16:00:00,-60.71,6.99,443.51
2023-08-23,434,79330.42,1,2023-08-23,16:00:00,393.18,103.26,182.79
2023-08-24,294,67872.13,5,2023-08-24,16:00:00,-32.26,-14.44,230.86
2023-08-25,391,74551.86,12,2023-08-25,16:00:00,32.99,9.84,190.67
2023-08-26,473,59611.99,7,2023-08-26,16:00:00,20.97,-20.04,126.03
2023-08-27,445,43994.45,8,2023-08-27,16:00:00,-5.92,-26.2,98.86
2023-08-28,305,43937.07,13,2023-08-28,16:00:00,-31.46,-0.13,144.06
2023-08-29,99,75467.18,11,2023-08-29,16:00:00,-67.54,71.76,762.29
2023-08-30,114,69339.89,3,2023-08-30,16:00:00,15.15,-8.12,608.24
2023-08-31,248,59735.48,1,2023-08-31,16:00:00,117.54,-13.85,240.87
2023-09-01,223,33835.78,14,2023-09-01,16:00:00,-10.08,-43.36,151.73
2023-09-02,154,67494.54,6,2023-09-02,16:00:00,-30.94,99.48,438.28
2023-09-03,358,32363.69,12,2023-09-03,16:00:00,132.47,-52.05,90.4
2023-09-04,308,85615.4,3,2023-09-04,16:00:00,-13.97,164.54,277.97
2023-09-05,92,70036.99,5,2023-09-05,16:00:00,-70.13,-18.2,761.27
2023-09-06,231,49325.31,12,2023-09-06,16:00:00,151.09,-29.57,213.53
2023-09-07,366,78588.39,6,2023-09-07,16:00:00,58.44,59.33,214.72
2023-09-08,80,85492.22,6,2023-09-08,16:00:00,-78.14,8.78,1068.65
