user_id,event_type,event_time,product_id,amount,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
U0341,page_view,2023-06-03 08:43,P025,,C,13.4,,A,11.5,858,A,12.83,620,,65.52,921,B,11.93,,A,61.48,339,,77.95,,,99.0,364,B,,917,A,23.89,495,A,70.52,300,C,12.14,458,A,61.21,,,,81,,,78
U0033,page_view,2023-06-04 20:55,P004,2685.69,A,80.18,,C,,836,C,87.62,,A,97.03,501,A,41.79,155,B,19.9,502,,77.28,,C,55.4,129,C,17.44,,A,90.05,,A,71.17,,B,,53,,19.56,,A,,,C,96.83,953
U0317,profile_update,2023-06-04 15:52,P024,1157.58,,,347,,20.65,102,,53.59,956,B,18.11,295,C,,717,,44.54,804,A,77.5,73,C,28.84,866,B,,,A,,,A,65.01,,C,34.01,,A,81.13,881,C,83.45,393,,72.41,
U0007,wishlist_add,2023-06-03 18:11,P014,695.42,,,954,,44.12,872,C,,482,A,13.44,299,B,6.17,362,B,0.98,994,C,,641,A,,,,60.23,464,B,81.99,,C,,591,B,81.4,477,,28.54,,C,29.11,,,,527
U0070,wishlist_add,2023-06-05 12:52,P020,2910.47,,12.59,,C,17.69,225,C,,444,B,64.15,,C,37.25,744,B,,,,,50,C,49.43,173,,28.09,,C,71.49,,,,701,B,,506,A,54.52,616,B,31.16,859,A,,292
U0048,search,2023-06-02 16:28,P024,2027.93,B,41.99,,C,12.22,244,B,60.79,943,A,76.69,674,C,33.7,23,A,,190,A,,,B,,,,15.56,100,,80.34,355,,8.88,843,,3.12,,A,0.81,,A,,46,C,,628
U0367,add_to_cart,2023-06-04 09:10,P003,,A,8.32,3,C,71.67,85,B,10.68,,B,,,A,38.81,835,A,80.35,,A,14.67,133,A,54.02,,C,16.69,,C,89.65,752,A,,824,B,,940,A,42.39,608,B,,947,A,,
U0170,wishlist_add,2023-06-01 17:47,P015,2483.79,,21.05,413,,,543,,97.26,992,A,48.74,319,B,,632,,99.25,482,C,97.45,458,B,37.78,,B,98.73,808,C,15.64,,,4.24,,C,85.16,294,C,,370,C,15.17,135,B,,534
U0262,wishlist_add,2023-06-05 14:57,P019,,C,31.9,,C,79.95,,B,49.29,670,B,93.04,75,B,75.17,,,,403,,68.3,,B,,710,,43.03,510,C,13.48,110,C,42.77,671,C,,,A,,899,A,58.65,525,B,,
U0269,login,2023-06-05 05:24,P004,763.39,C,24.4,250,A,,,B,53.26,,B,22.21,992,A,49.07,278,B,46.44,965,A,9.5,629,C,59.08,,A,,389,A,28.8,495,,66.01,,A,,129,C,89.91,786,B,2.01,,C,,124
U0251,page_view,2023-06-06 14:23,P011,562.53,C,,118,,68.79,312,,98.96,,B,90.06,418,,,794,C,54.99,286,,,,C,20.29,651,A,92.23,746,C,11.57,990,A,77.36,,A,94.86,195,,,981,B,53.99,,C,90.11,725
U0377,search,2023-06-04 22:12,P014,,A,15.43,212,,20.69,111,C,97.63,650,B,86.2,750,,,,A,,130,A,74.36,79,,80.32,,A,6.21,612,,,634,C,,,C,20.03,,,13.85,440,C,,270,A,96.66,
U0145,profile_update,2023-06-02 02:18,P003,,B,67.1,,B,,815,B,,,,69.13,990,,41.53,257,C,77.34,153,B,83.43,732,C,66.58,804,C,,689,B,64.9,996,,7.26,674,B,,125,,,404,,65.8,,A,,15
U0312,page_view,2023-06-04 20:16,P020,1491.28,A,75.5,,A,,711,B,,408,,99.64,471,C,25.8,,A,47.9,,,2.56,582,B,13.78,496,C,33.15,834,C,,489,,86.62,444,C,,347,B,54.03,807,,,89,A,,841
U0249,wishlist_add,2023-06-05 22:19,P003,,,11.23,,C,2.94,459,B,,,B,,482,A,28.19,700,A,93.49,,C,91.71,649,,,,B,54.06,338,C,2.0,,,,960,A,,465,C,35.95,721,A,,,,22.09,727
U0285,wishlist_add,2023-06-01 09:14,P030,2906.11,,86.78,253,C,33.46,975,A,93.88,85,A,,616,A,22.68,9,A,,978,B,51.67,923,,86.55,335,C,39.97,421,A,95.12,,C,3.72,,C,44.95,132,A,74.7,,,34.26,849,C,17.28,874
U0339,add_to_cart,2023-06-05 17:29,P017,,,,528,B,39.71,65,C,96.95,474,A,54.33,113,B,21.57,727,,,,A,76.2,517,C,15.32,416,A,40.45,324,C,31.13,,A,,588,A,8.83,,C,,863,B,,257,C,20.14,441
U0005,page_view,2023-06-04 22:06,P017,,C,,511,B,83.41,,B,,991,,,156,B,,353,A,80.88,483,C,,792,A,,,C,,217,C,44.65,396,B,,,,,452,B,,865,C,,237,C,65.31,674
U0389,login,2023-06-02 19:23,P024,,,79.21,,C,,,A,86.12,226,A,39.52,954,,,935,A,,107,B,,,,,315,B,18.52,841,C,7.77,401,A,89.23,,A,48.59,230,B,31.06,210,B,,250,C,,244
U0180,add_to_cart,2023-06-04 06:32,P005,528.55,B,79.75,504,A,,,C,22.79,45,C,1.75,728,A,35.01,429,B,33.76,784,C,80.93,34,,94.9,436,C,82.47,,C,19.59,636,B,86.64,,A,,,C,4.26,911,C,70.03,584,A,60.94,136
U0120,page_view,2023-06-01 19:22,P001,2426.87,C,15.15,130,C,,,B,31.67,,C,,,B,29.97,537,A,78.75,91,,55.42,366,A,,293,B,53.98,,A,22.41,541,A,,602,C,8.23,758,A,16.52,,B,70.68,996,C,15.33,486
U0052,wishlist_add,2023-06-05 16:32,P013,856.11,C,62.12,,,40.53,491,C,,,C,97.56,393,B,85.07,721,C,18.69,223,C,,786,B,,,A,,612,A,30.37,127,C,36.1,193,C,,37,C,,544,B,57.06,376,B,2.39,
U0192,page_view,2023-06-04 09:06,P019,,C,,144,C,64.73,,C,19.57,243,C,66.82,120,B,26.01,698,C,92.09,,A,,,,4.89,147,A,19.42,,C,64.71,243,A,,525,A,31.66,740,C,,874,B,11.83,,A,,959
U0190,checkout,2023-06-03 00:09,P024,939.67,,26.99,,A,,307,A,95.31,438,,17.19,817,A,76.82,,A,,670,B,22.05,753,A,,625,C,31.32,398,A,81.12,588,C,,248,,,293,,44.35,,C,53.15,,A,45.56,
U0317,add_to_cart,2023-06-03 18:59,P006,933.2,C,21.34,,B,43.63,906,B,,967,,,859,A,,,B,39.11,51,C,38.25,86,C,3.78,,B,,772,B,72.41,,,,,B,,,C,49.49,,A,34.19,213,C,42.84,67
U0327,profile_update,2023-06-05 13:03,P001,2809.18,A,,329,A,63.41,694,C,73.66,,A,,,A,,934,A,31.29,,C,38.89,934,C,,783,C,65.0,904,,65.42,755,,,828,A,61.78,,A,51.56,181,,76.65,,C,60.44,137
U0325,wishlist_add,2023-06-02 10:06,P008,,,95.5,,,51.57,39,,,316,,37.11,248,C,,597,B,34.92,27,A,,467,C,42.28,509,B,53.7,,,63.39,176,B,16.09,667,C,,403,B,89.59,165,C,,377,A,1.76,458
U0343,page_view,2023-06-05 02:39,P022,,A,,,A,34.24,,C,24.45,640,B,64.98,188,A,87.54,135,C,28.0,311,C,29.19,289,B,19.18,737,B,77.27,54,,11.39,547,,37.21,111,B,,792,C,69.78,317,C,94.78,590,,23.79,
U0158,search,2023-06-02 22:33,P021,,B,,145,C,90.12,652,,20.57,,C,20.31,,B,,,B,,438,,67.17,,C,37.01,293,A,37.02,903,B,87.56,283,B,41.1,618,C,13.34,96,,28.52,796,,34.79,,,32.91,958
U0225,login,2023-06-02 17:39,P011,991.76,,89.42,627,A,44.16,,A,,500,B,,786,,27.82,833,,90.71,887,C,17.42,654,,4.29,4,,78.02,,C,70.99,218,A,2.89,,C,14.03,,C,22.05,267,C,17.06,845,B,,490
U0017,logout,2023-06-06 09:57,P014,1474.75,C,,,B,97.15,155,B,5.35,,A,,152,,63.92,864,,98.81,301,B,38.57,,C,65.55,811,,,,A,77.5,,A,,,C,60.13,7,,,646,B,33.58,592,,46.23,205
U0232,checkout,2023-06-01 10:04,P025,1708.83,A,92.62,240,,,,B,15.43,,A,,,C,,663,C,56.58,842,B,36.41,82,,,,,2.74,423,A,93.02,369,,,99,C,79.87,502,B,,,C,63.23,624,A,15.28,625
U0057,wishlist_add,2023-06-02 13:53,P021,,,85.61,339,B,,532,,,,C,,991,C,31.5,458,C,50.19,332,,,822,B,,,,51.57,,B,,524,A,95.93,716,B,7.39,,B,81.42,,A,25.29,900,B,72.52,547
U0271,page_view,2023-06-05 18:46,P030,2856.44,,54.61,,C,82.92,,,26.02,838,C,,,C,,853,,67.9,837,A,,,C,34.71,,A,15.69,,B,73.03,,A,96.36,,C,95.96,835,,,,,59.67,453,,,
U0349,profile_update,2023-06-05 01:17,P004,,,,135,B,,496,,,,,,,B,2.29,908,A,75.8,12,,75.84,424,C,63.82,620,A,,254,C,,594,B,76.02,751,,23.55,102,C,99.63,,,2.71,978,A,88.56,
U0188,search,2023-06-05 13:08,P011,2492.85,A,66.11,556,A,,219,C,98.39,,C,88.99,,C,,368,C,,929,B,67.71,416,C,64.52,33,A,,,B,,890,,2.43,,A,38.47,838,,65.71,13,A,55.55,932,A,35.89,225
U0334,logout,2023-06-04 16:28,P002,,A,38.87,881,C,19.48,148,A,38.87,27,A,30.28,,B,,110,C,75.1,742,A,85.42,928,,,950,A,,196,B,99.89,970,A,77.06,397,,89.8,151,,,501,,11.14,,A,39.87,50
U0297,checkout,2023-06-05 19:54,P023,,A,61.01,,A,88.24,628,B,32.39,360,,40.04,,C,54.15,,,53.47,800,,31.84,,,13.42,,A,66.41,917,C,,,C,49.78,,,35.58,799,B,,185,,10.13,,B,34.68,80
U0013,profile_update,2023-06-06 16:24,P024,2441.69,A,60.16,157,C,13.31,637,,,,C,,748,C,42.45,114,C,53.55,,B,,586,,,286,B,78.15,265,C,5.0,769,A,,41,A,75.02,157,,21.72,799,,,865,C,54.22,
U0331,page_view,2023-06-02 01:40,P012,,A,75.16,342,B,92.44,,A,68.55,660,C,,453,B,74.03,196,,,,C,38.04,431,,48.55,,B,26.76,,,38.22,,B,25.05,,,62.86,340,A,26.56,997,A,68.91,896,C,39.71,
U0337,page_view,2023-06-05 15:46,P025,,,39.09,909,C,63.59,16,A,12.19,364,A,84.12,379,,50.9,750,,75.62,,,,426,B,26.55,,,0.19,417,,,,B,48.5,216,C,0.74,481,A,,84,C,3.12,256,B,,528
U0015,login,2023-06-06 17:49,P017,1211.64,B,22.2,,C,,603,C,6.8,341,,47.92,,B,40.74,653,,58.33,,C,4.57,926,,15.61,99,A,84.71,179,C,48.54,594,A,,,C,,550,B,,,A,50.8,930,,31.26,506
U0383,search,2023-06-02 11:40,P006,,A,,905,B,40.23,190,,9.63,,,19.79,103,,,,B,7.8,873,C,97.21,483,A,83.72,543,B,,,A,,508,C,37.36,155,B,82.0,962,B,7.25,,B,83.11,,B,60.53,542
U0279,search,2023-06-06 18:02,P009,,B,12.57,634,,,621,,4.49,314,,52.5,556,B,,100,C,28.5,444,B,14.95,422,C,67.84,227,B,17.81,,,93.24,110,A,,,C,48.81,280,B,98.5,864,C,83.25,999,A,17.4,
U0206,login,2023-06-05 17:05,P026,,B,53.61,392,C,30.91,369,B,44.11,,A,32.8,362,A,,,A,79.45,807,B,78.46,,,,,C,68.37,,C,,81,C,45.03,693,,17.91,641,A,98.79,465,C,,,C,16.36,658
U0019,login,2023-06-05 04:22,P024,,C,84.4,446,,41.33,,A,13.75,,,48.25,,B,,160,A,28.68,225,C,49.42,547,A,,703,A,,,B,19.12,,,14.77,145,,69.8,965,,,429,B,66.05,16,B,70.21,
U0312,logout,2023-06-03 13:22,P020,,B,,942,C,20.99,986,,29.89,579,,,,A,,,A,19.0,978,C,84.0,1,C,54.31,893,B,84.14,,,,223,B,45.23,141,B,60.18,413,,37.22,,,65.78,229,C,,
U0186,page_view,2023-06-05 14:03,P012,1649.38,B,,65,C,36.11,587,C,56.86,864,C,95.89,833,C,7.31,570,C,77.38,,A,,363,,57.33,,,41.45,125,B,,46,A,37.11,836,B,80.33,,A,11.82,,A,82.77,,C,41.52,385
U0313,add_to_cart,2023-06-04 10:50,P001,921.94,A,87.92,,B,,936,B,40.67,,A,30.96,249,A,76.97,,A,5.84,,C,8.98,489,B,42.12,431,C,73.87,272,B,20.38,229,B,,834,B,29.15,248,B,,,C,40.61,821,,20.79,149
U0252,page_view,2023-06-03 20:24,P019,,B,99.42,,B,19.51,,C,40.36,,,,,C,87.49,158,B,58.18,678,A,64.32,94,B,99.39,,,96.36,,,,,,19.03,206,B,6.13,323,A,,,,34.71,,A,13.03,396
U0337,logout,2023-06-03 22:44,P012,,,54.75,503,A,91.15,22,B,,951,A,,398,,,916,,68.81,789,A,72.4,467,A,72.0,319,C,10.7,83,A,86.13,,B,,340,A,,848,B,72.55,206,C,,900,B,34.56,525
U0307,checkout,2023-06-04 03:49,P023,,B,69.03,,,11.57,,A,67.57,504,A,28.8,154,A,49.89,552,,8.64,,A,35.21,336,B,27.76,267,,28.89,,,13.92,938,,29.77,,,27.09,575,A,,111,,16.26,,B,5.43,7
U0180,wishlist_add,2023-06-05 18:48,P006,,B,73.67,209,C,40.52,454,B,,,C,,,C,22.92,859,,74.31,359,,,455,C,81.31,,,35.12,0,,76.94,,A,99.53,810,C,29.3,639,,58.56,969,,0.02,729,B,8.18,735
U0024,search,2023-06-03 02:08,P026,,B,3.66,325,,,,,15.58,736,C,51.28,114,,56.42,368,B,65.36,138,A,78.34,965,A,65.91,,,25.39,291,B,,761,C,51.01,584,A,,,B,62.71,681,,,740,,36.27,770
U0251,profile_update,2023-06-03 22:57,P024,,C,,323,,62.98,,B,17.94,,B,,301,,9.22,409,A,,695,,7.34,,A,,,C,71.23,,,14.91,303,A,,286,A,33.49,547,A,52.43,355,A,,724,A,61.41,533
U0234,login,2023-06-02 05:17,P017,,A,93.25,,,,753,,96.5,528,,6.81,,B,45.23,225,C,,,C,,626,C,26.64,544,B,12.16,436,,73.92,634,C,,823,,53.96,,C,,485,A,56.17,,,57.38,406
U0178,search,2023-06-04 13:58,P018,,,10.81,25,,88.15,948,C,46.1,56,C,5.34,740,,57.81,755,B,,199,A,,892,A,16.39,939,A,,326,,41.33,45,B,,745,,38.2,887,,55.96,427,,,11,A,,456
U0093,login,2023-06-05 14:12,P004,,A,37.11,24,C,10.56,766,,39.76,,A,,,C,93.27,851,B,70.58,377,B,,,B,,964,A,,546,C,60.56,,B,,136,A,,338,C,,296,,,,,35.65,341
U0095,login,2023-06-02 01:05,P019,575.4,,55.6,982,A,,377,A,26.98,152,B,3.26,,C,,761,,,,,73.15,311,B,,889,C,,817,A,75.27,,A,29.17,,C,32.77,802,,67.33,571,B,,,C,69.94,
U0031,checkout,2023-06-01 12:59,P004,,,,,B,17.32,869,A,72.12,627,,68.54,659,B,58.03,80,,,885,,9.92,378,C,,,A,,,A,18.43,530,C,,130,C,,419,A,,450,B,,,C,,634
U0332,search,2023-06-04 05:40,P019,747.18,A,,,C,82.61,141,B,57.26,,A,72.98,754,C,,,B,78.22,348,,51.0,,,39.82,649,A,1.22,668,B,,329,B,96.62,,A,88.51,481,C,33.34,213,A,83.22,,,15.24,262
U0309,add_to_cart,2023-06-01 23:07,P006,769.71,A,,,,31.5,141,,61.98,813,A,51.7,711,C,41.19,,B,77.48,474,,84.19,,A,10.55,630,A,28.55,,,72.17,,C,,573,A,75.83,903,B,85.26,703,C,7.15,644,C,24.81,114
U0221,profile_update,2023-06-04 18:38,P021,2630.74,,31.08,,B,58.36,303,A,18.97,619,,,915,A,87.35,,A,99.49,878,,73.02,,C,85.91,236,,,147,B,68.54,,A,16.77,9,,75.02,629,B,81.9,153,C,42.28,262,B,15.62,
U0110,login,2023-06-06 00:38,P014,218.24,B,7.95,731,C,97.03,294,B,43.53,158,C,3.25,304,A,68.62,,C,89.4,,A,65.83,975,A,,,B,57.78,432,A,81.24,,,37.15,489,A,90.04,,A,72.66,524,B,,930,C,61.86,372
U0186,login,2023-06-02 13:48,P001,2792.22,B,19.67,836,A,93.36,,B,20.5,,B,23.81,257,B,69.63,370,A,11.73,,B,12.81,,B,72.1,119,A,,823,,61.83,,B,,,A,,500,C,,,A,3.42,,C,23.16,705
U0328,add_to_cart,2023-06-02 04:16,P013,2858.78,B,,737,A,63.81,,A,37.1,580,B,,216,,60.66,110,,49.23,988,,,188,A,,736,C,94.03,,C,54.97,650,B,,,C,1.94,852,,97.45,,,67.39,14,C,73.59,791
U0024,logout,2023-06-06 05:13,P006,,B,53.86,,C,78.7,935,B,,779,C,89.16,,C,40.06,,C,99.76,,B,24.05,,,,,,56.11,663,A,90.7,381,,26.06,536,B,,120,B,72.01,491,C,79.82,,,,166
U0170,profile_update,2023-06-04 07:40,P020,,,42.03,,C,16.62,269,A,,871,,5.21,389,A,84.24,12,C,,293,A,14.12,405,B,12.91,,C,,694,B,0.18,451,B,,,C,62.01,650,C,87.52,,C,36.8,590,B,91.08,
U0262,login,2023-06-04 23:49,P011,,A,,,C,,632,,,,,56.36,381,B,39.1,,A,17.05,934,C,32.72,,B,90.0,,B,48.85,,B,73.67,97,C,17.22,633,B,,,A,31.64,182,A,12.72,,A,,851
U0129,logout,2023-06-04 01:12,P015,,B,,496,C,11.89,761,B,23.88,123,,4.34,,B,,,B,49.2,770,,50.73,220,A,18.17,683,,93.79,326,A,35.71,,,,,A,23.0,367,B,21.93,,B,27.1,345,B,30.51,831
U0291,login,2023-06-06 13:37,P005,1524.6,A,58.66,,B,42.8,805,B,,,B,,349,C,94.24,58,,77.49,333,A,75.2,5,,48.61,165,C,83.49,,B,67.19,123,C,,527,,67.26,,C,30.33,,C,74.72,,A,88.24,282
U0390,checkout,2023-06-05 21:01,P030,,,,38,B,,,A,79.76,943,,32.95,797,C,4.1,,A,0.86,628,,15.57,610,C,,,A,,164,C,36.78,,B,,907,A,,924,C,93.37,475,B,92.62,,B,24.42,359
U0036,profile_update,2023-06-05 14:12,P002,,C,95.73,,,25.01,,A,,293,A,,244,B,86.22,485,,24.3,630,,69.32,986,B,98.12,216,C,15.09,334,B,74.24,610,,59.64,650,B,18.89,,,,,C,11.74,515,A,42.9,929
U0344,page_view,2023-06-04 19:04,P002,,A,77.6,47,C,96.02,,A,99.05,,C,69.77,894,,92.55,403,B,2.99,,C,30.2,574,B,,735,C,,,B,,485,A,9.32,34,B,35.43,,,,,A,30.69,245,,0.4,
U0240,search,2023-06-02 07:19,P009,319.55,A,89.95,360,A,66.58,236,,87.48,,C,43.84,239,A,83.74,834,A,33.3,595,C,,256,B,,,A,11.28,460,A,77.36,,C,21.34,399,B,,,B,29.66,,C,60.75,58,B,14.06,270
U0328,page_view,2023-06-06 04:31,P016,2961.58,A,76.6,,A,,,,0.3,503,B,55.37,509,A,30.47,,B,92.91,,A,,,C,86.49,742,,,,B,1.19,975,A,57.22,,B,,112,A,60.61,223,A,65.09,410,B,83.93,832
U0328,login,2023-06-02 08:36,P025,1736.1,A,66.92,,C,,536,C,79.79,641,B,26.1,38,B,11.33,745,,,878,B,,728,B,91.64,161,,5.76,,,63.18,144,A,99.2,416,C,,,A,35.02,349,A,66.98,374,B,18.58,713
U0050,wishlist_add,2023-06-05 00:31,P015,2746.07,,36.75,645,C,,594,B,12.29,151,B,2.63,107,C,19.2,,A,90.78,,,94.95,,,11.62,,A,4.44,668,A,,,A,8.53,58,A,44.79,,B,,420,C,,661,A,,50
U0240,search,2023-06-03 02:46,P016,,A,,121,,48.51,300,B,,,C,5.58,,C,,,A,,,,72.52,16,B,53.44,544,A,36.61,420,A,56.68,96,B,39.46,636,,15.69,921,,,321,C,19.26,529,C,,833
U0047,search,2023-06-06 09:35,P006,,B,19.03,575,C,82.14,255,,11.6,144,C,,466,A,,285,A,97.76,958,,68.09,466,A,44.3,,,14.38,514,C,44.06,66,A,41.59,654,A,,871,C,40.43,4,,4.59,972,,31.98,210
U0134,wishlist_add,2023-06-03 07:45,P023,,C,92.64,297,B,23.49,,,,547,,23.03,762,B,,190,A,,535,C,67.2,156,B,43.01,,B,90.18,847,B,37.11,86,A,,,A,6.72,936,,,660,A,79.09,,B,93.54,771
U0204,page_view,2023-06-05 16:25,P017,,,97.53,31,A,,553,A,49.88,,,,811,C,,490,,62.21,140,A,86.17,191,,,459,C,96.48,326,A,,396,,,320,C,80.67,,C,,762,,47.74,736,B,,771
U0139,page_view,2023-06-03 15:44,P024,,B,,735,C,44.71,,B,41.83,140,,51.06,51,,,286,,,657,A,,214,,76.24,791,,25.0,251,A,77.69,878,A,5.65,291,A,,44,A,17.47,,,70.73,728,A,46.78,451
U0042,login,2023-06-06 02:39,P012,,C,41.33,,,85.1,671,A,,84,A,84.22,824,,93.86,633,,88.59,858,,68.67,637,B,18.53,254,A,75.86,903,,46.61,228,A,95.18,,B,,936,,,,B,97.11,173,C,2.05,
U0129,wishlist_add,2023-06-03 06:40,P020,,A,48.14,3,,,,B,29.6,295,A,,873,A,,324,B,5.61,211,C,,417,,17.25,204,,96.81,47,B,,863,B,72.02,,A,32.76,782,C,,438,A,49.79,,A,,976
U0050,login,2023-06-06 08:27,P007,,,68.42,248,A,58.99,34,B,75.6,592,C,60.63,563,A,,17,C,,988,C,26.5,,B,37.21,549,A,,,,18.05,,C,65.94,712,C,,,,35.92,,A,81.26,481,B,3.25,
U0114,checkout,2023-06-01 13:44,P003,,B,,,,,154,B,16.74,934,C,78.81,,B,80.0,,C,89.25,724,,51.5,6,B,79.65,,A,83.34,,C,96.39,442,B,82.46,808,,37.1,,B,73.19,,C,,566,B,,60
U0091,wishlist_add,2023-06-06 05:08,P019,2465.97,C,87.12,,C,,791,,7.47,556,,97.65,,B,53.92,733,B,21.63,,A,,798,,,,B,85.47,,,,338,B,99.62,588,A,86.79,,,1.2,,A,26.85,,,95.19,
U0120,search,2023-06-03 03:48,P028,,B,72.21,396,B,,479,A,,,,,,,46.64,674,C,0.88,476,,99.13,311,C,68.57,,A,47.16,,C,,699,A,34.76,288,C,,348,A,,,,,253,B,33.35,959
U0079,search,2023-06-02 03:02,P012,2706.02,C,,175,C,32.77,823,A,,,C,,435,C,,,C,71.56,,A,88.13,103,C,,36,A,50.21,,B,5.56,589,B,91.5,437,C,66.9,461,,6.56,479,A,14.83,372,C,74.66,632
U0264,profile_update,2023-06-05 06:13,P025,2531.88,A,48.95,591,B,85.21,117,,82.78,597,B,5.24,879,,55.64,846,A,,188,C,,,B,85.4,95,B,,946,A,62.44,,B,86.08,792,B,50.95,80,B,53.29,730,,63.17,163,C,,
U0333,profile_update,2023-06-05 21:17,P005,,,15.91,92,,,505,,,,C,,,A,55.52,540,,,509,B,29.4,,,,627,C,57.04,,,73.88,,,,560,B,,346,C,46.5,,C,,783,C,59.12,780
U0304,page_view,2023-06-03 22:03,P012,1258.65,C,,547,C,,390,A,71.65,360,,31.96,182,A,71.31,295,B,58.11,,B,61.61,996,,38.53,483,,60.36,866,,40.19,134,A,41.45,399,A,83.83,713,C,,451,B,98.08,,A,,746
U0012,profile_update,2023-06-05 12:24,P006,,C,,,A,58.79,,A,77.08,374,A,54.51,,A,,,A,,297,A,92.6,577,,7.92,900,B,79.14,799,,89.18,485,B,,,B,51.41,,B,94.02,893,C,43.77,452,,2.75,623
