user_id,event_type,event_time,product_id,amount
U0242,wishlist_add,2023-06-05 06:13,P027,2488.27
U0153,login,2023-06-04 09:00,P002,2788.94
U0144,page_view,2023-06-04 09:45,P025,2852.8
U0324,page_view,2023-06-03 15:31,P007,1502.13
U0021,checkout,2023-06-02 07:05,P013,1763.65
U0233,logout,2023-06-05 01:58,P024,1497.6
U0215,checkout,2023-06-03 15:36,P002,2811.96
U0027,wishlist_add,2023-06-05 05:31,P009,966.86
U0191,checkout,2023-06-04 02:52,P010,948.41
U0156,checkout,2023-06-01 13:41,P002,2560.3
U0275,add_to_cart,2023-06-06 11:43,P030,1887.99
U0245,wishlist_add,2023-06-05 18:01,P009,1662.6
U0304,add_to_cart,2023-06-06 18:37,P016,2878.34
U0068,login,2023-06-04 04:12,P006,615.26
U0161,login,2023-06-03 04:36,P014,1882.13
U0131,page_view,2023-06-02 05:22,P026,1415.83
U0227,page_view,2023-06-02 06:17,P003,2554.6
U0370,wishlist_add,2023-06-01 16:44,P026,330.13
U0389,profile_update,2023-06-06 16:34,P015,2401.07
U0095,profile_update,2023-06-03 21:09,P005,650.57
U0111,page_view,2023-06-06 01:21,P001,200.12
U0136,logout,2023-06-02 14:59,P018,1051.46
U0230,page_view,2023-06-02 08:35,P010,2276.48
U0012,wishlist_add,2023-06-06 11:41,P005,1934.35
U0065,add_to_cart,2023-06-02 16:17,P008,2632.22
U0255,page_view,2023-06-05 05:42,P026,309.67
U0245,checkout,2023-06-04 14:16,P009,2223.09
U0390,login,2023-06-01 08:21,P020,2021.21
U0029,profile_update,2023-06-02 13:05,P003,940.43
U0001,wishlist_add,2023-06-05 01:45,P028,960.51
U0089,search,2023-06-03 09:40,P026,327.12
U0230,checkout,2023-06-04 01:25,P015,1204.39
U0262,login,2023-06-05 13:12,P005,2516.73
U0265,add_to_cart,2023-06-04 15:59,P012,2530.51
U0191,profile_update,2023-06-03 09:27,P005,1417.06
U0293,wishlist_add,2023-06-05 07:53,P019,1781.13
U0062,search,2023-06-05 21:06,P022,1077.87
U0045,wishlist_add,2023-06-04 00:08,P014,1902.2
U0120,add_to_cart,2023-06-06 18:27,P007,1781.07
U0242,profile_update,2023-06-06 03:10,P022,256.78
U0027,logout,2023-06-03 12:04,P003,975.29
U0329,profile_update,2023-06-04 08:06,P028,1526.79
U0146,login,2023-06-02 20:17,P010,1136.96
U0036,login,2023-06-04 19:06,P026,595.49
U0243,profile_update,2023-06-06 07:05,P020,1202.3
U0241,logout,2023-06-05 04:18,P004,1014.26
U0398,checkout,2023-06-05 01:14,P017,1613.16
U0377,add_to_cart,2023-06-06 17:11,P027,1028.03
U0346,login,2023-06-04 11:29,P017,818.52
U0010,login,2023-06-03 12:54,P009,1391.61
U0156,add_to_cart,2023-06-06 15:48,P027,2267.56
U0100,login,2023-06-06 02:04,P028,2056.05
U0122,profile_update,2023-06-05 08:35,P027,2208.1
U0146,login,2023-06-06 12:14,P029,1589.38
U0358,page_view,2023-06-03 16:20,P012,2773.7
U0126,add_to_cart,2023-06-06 13:26,P001,2408.78
U0374,add_to_cart,2023-06-04 01:16,P014,1410.06
U0024,logout,2023-06-04 03:46,P011,850.03
U0252,login,2023-06-03 19:23,P016,2137.8
U0332,wishlist_add,2023-06-06 15:39,P006,1938.83
U0147,search,2023-06-03 21:59,P007,1275.7
U0285,search,2023-06-02 07:29,P021,724.18
U0122,wishlist_add,2023-06-01 20:46,P025,2356.49
U0256,login,2023-06-02 01:41,P013,2537.82
U0159,profile_update,2023-06-05 10:10,P027,1141.76
U0150,wishlist_add,2023-06-03 05:19,P010,2283.39
U0328,logout,2023-06-01 14:56,P012,2329.66
U0262,page_view,2023-06-04 18:16,P004,1787.47
U0138,checkout,2023-06-04 04:33,P010,330.57
U0012,login,2023-06-01 12:21,P020,2448.64
U0161,profile_update,2023-06-03 22:00,P002,2346.95
U0356,search,2023-06-03 21:55,P028,1199.35
U0141,checkout,2023-06-05 11:32,P010,1952.09
U0350,wishlist_add,2023-06-03 03:00,P019,777.24
U0035,profile_update,2023-06-06 18:55,P020,2085.12
U0336,profile_update,2023-06-04 03:33,P018,1389.04
U0219,checkout,2023-06-04 23:13,P011,808.5
U0355,add_to_cart,2023-06-03 07:31,P021,1704.58
U0288,profile_update,2023-06-06 05:11,P009,330.5
U0271,wishlist_add,2023-06-03 15:46,P026,2543.19
U0082,search,2023-06-06 02:15,P027,2922.77
U0146,search,2023-06-02 22:16,P023,2718.6
U0230,add_to_cart,2023-06-03 23:52,P021,166.11
U0391,add_to_cart,2023-06-02 08:07,P030,379.89
U0307,wishlist_add,2023-06-05 14:10,P013,1866.94
U0161,logout,2023-06-05 05:27,P026,2552.03
U0203,checkout,2023-06-06 15:23,P020,239.81
U0337,profile_update,2023-06-01 23:30,P013,1834.59
U0336,login,2023-06-02 16:42,P027,117.43
U0038,search,2023-06-03 04:45,P008,1533.73
U0395,search,2023-06-05 05:49,P026,2926.69
U0315,login,2023-06-04 07:04,P030,1812.95
U0152,login,2023-06-05 22:06,P022,839.22
U0264,profile_update,2023-06-03 15:07,P008,2821.74
U0190,wishlist_add,2023-06-03 12:30,P018,2199.55
U0304,logout,2023-06-02 04:11,P020,1052.48
U0084,search,2023-06-02 07:51,P027,152.8
U0190,checkout,2023-06-01 11:16,P014,2246.64
U0034,checkout,2023-06-02 13:58,P008,1826.62
U0353,add_to_cart,2023-06-02 08:31,P016,2509.99
U0224,wishlist_add,2023-06-05 16:32,P017,1409.74
U0222,logout,2023-06-01 16:16,P007,1250.08
U0107,logout,2023-06-01 20:17,P011,1287.35
U0245,logout,2023-06-05 02:53,P030,164.57
U0160,login,2023-06-04 17:04,P018,2277.67
U0051,login,2023-06-05 16:06,P009,1120.55
U0216,wishlist_add,2023-06-03 12:32,P018,430.27
U0228,logout,2023-06-06 17:19,P008,339.09
U0112,logout,2023-06-03 09:45,P007,1879.28
U0006,checkout,2023-06-04 05:23,P002,2643.34
U0217,wishlist_add,2023-06-04 01:47,P001,1637.76
U0386,profile_update,2023-06-04 01:30,P029,2051.84
U0048,wishlist_add,2023-06-02 09:24,P027,747.59
U0080,wishlist_add,2023-06-01 18:33,P020,1357.65
U0287,profile_update,2023-06-05 21:36,P028,1984.38
U0399,checkout,2023-06-05 06:59,P003,2540.19
U0181,checkout,2023-06-06 10:20,P020,352.05
U0257,login,2023-06-03 03:30,P020,2966.99
U0233,page_view,2023-06-06 19:03,P023,2548.34
U0144,page_view,2023-06-05 23:29,P004,110.74
U0089,profile_update,2023-06-03 05:56,P009,1252.73
U0200,wishlist_add,2023-06-05 00:44,P013,2481.42
U0079,page_view,2023-06-06 11:30,P004,980.23
U0210,login,2023-06-03 22:06,P006,1606.73
U0226,profile_update,2023-06-04 01:04,P025,1532.29
U0379,login,2023-06-04 05:33,P024,909.43
U0015,search,2023-06-02 13:44,P027,1669.03
U0088,add_to_cart,2023-06-01 15:06,P015,2923.74
U0119,logout,2023-06-03 16:46,P027,578.87
U0024,wishlist_add,2023-06-05 17:47,P005,2398.41
U0113,wishlist_add,2023-06-02 23:42,P002,1059.78
U0330,profile_update,2023-06-02 23:06,P018,814.85
U0069,wishlist_add,2023-06-02 14:59,P026,2094.06
U0210,wishlist_add,2023-06-02 21:21,P017,2082.56
U0329,checkout,2023-06-03 14:53,P008,1279.39
U0243,profile_update,2023-06-06 05:05,P008,2771.24
U0157,page_view,2023-06-02 08:59,P024,1235.21
U0348,search,2023-06-01 21:35,P010,2394.8
U0170,logout,2023-06-02 15:13,P027,1916.18
U0309,search,2023-06-01 20:00,P014,1170.48
U0304,add_to_cart,2023-06-04 15:58,P011,299.68
U0277,wishlist_add,2023-06-04 20:50,P004,2488.91
U0137,checkout,2023-06-02 12:44,P003,588.95
U0054,logout,2023-06-05 21:57,P021,2895.72
U0357,login,2023-06-06 02:21,P022,926.24
U0082,logout,2023-06-06 18:47,P025,106.78
U0275,wishlist_add,2023-06-03 14:10,P018,2666.13
U0286,add_to_cart,2023-06-01 18:45,P013,2409.06
U0018,add_to_cart,2023-06-01 22:38,P025,459.27
U0355,page_view,2023-06-05 03:35,P019,524.55
U0231,add_to_cart,2023-06-03 17:49,P029,1873.78
U0363,login,2023-06-06 09:17,P007,1078.25
U0320,profile_update,2023-06-04 11:37,P028,1444.58
U0268,profile_update,2023-06-06 17:13,P013,1769.27
U0232,checkout,2023-06-06 04:15,P012,867.43
U0134,profile_update,2023-06-04 02:54,P016,2453.97
U0153,checkout,2023-06-02 23:19,P024,2731.71
U0250,search,2023-06-04 08:30,P012,779.46
U0030,page_view,2023-06-06 09:21,P003,230.1
U0041,add_to_cart,2023-06-02 22:24,P030,1265.32
U0051,profile_update,2023-06-06 02:51,P024,1086.06
U0240,profile_update,2023-06-02 02:06,P017,653.28
U0396,profile_update,2023-06-02 12:59,P002,1820.64
U0057,wishlist_add,2023-06-04 20:57,P019,227.1
U0189,checkout,2023-06-06 14:36,P003,772.44
U0248,checkout,2023-06-06 14:33,P004,2808.33
U0212,add_to_cart,2023-06-01 14:56,P028,2994.64
U0212,search,2023-06-03 16:01,P026,1698.57
U0386,wishlist_add,2023-06-03 19:34,P015,188.75
U0302,wishlist_add,2023-06-03 09:24,P030,1404.35
U0103,page_view,2023-06-06 02:39,P001,2050.83
U0016,page_view,2023-06-04 18:20,P020,116.55
U0341,logout,2023-06-06 11:49,P022,2130.22
U0333,logout,2023-06-01 21:00,P013,1577.72
U0253,checkout,2023-06-06 19:33,P025,2271.79
U0300,search,2023-06-02 01:50,P012,1979.5
U0061,logout,2023-06-01 12:20,P001,510.05
U0320,login,2023-06-04 03:14,P016,1011.97
U0114,logout,2023-06-03 00:37,P001,2966.75
U0144,checkout,2023-06-04 05:41,P019,1859.75
U0374,profile_update,2023-06-02 15:49,P017,322.97
U0291,add_to_cart,2023-06-04 00:12,P016,865.82
U0268,search,2023-06-02 19:55,P005,2546.22
U0249,search,2023-06-02 19:09,P001,2958.4
U0322,checkout,2023-06-05 10:09,P007,2509.06
U0338,checkout,2023-06-01 14:29,P021,1685.89
U0276,logout,2023-06-04 16:03,P015,294.85
U0277,search,2023-06-03 11:35,P015,1153.69
U0075,login,2023-06-06 14:40,P015,1575.07
U0217,search,2023-06-05 11:24,P026,621.83
U0074,profile_update,2023-06-01 09:21,P020,2123.81
U0025,logout,2023-06-03 11:22,P005,363.1
U0356,profile_update,2023-06-03 17:34,P018,553.47
U0036,page_view,2023-06-04 20:16,P018,2628.52
U0034,wishlist_add,2023-06-04 10:28,P020,2584.23
U0103,wishlist_add,2023-06-03 22:30,P001,1761.35
U0232,add_to_cart,2023-06-02 14:24,P005,2324.55
U0207,wishlist_add,2023-06-02 19:09,P019,1727.16
U0389,checkout,2023-06-03 06:10,P025,348.03
U0148,add_to_cart,2023-06-02 11:06,P027,2737.7
U0322,checkout,2023-06-06 17:55,P020,1446.76
U0110,logout,2023-06-03 20:00,P014,2536.56
U0087,page_view,2023-06-02 06:47,P022,1753.13
U0063,login,2023-06-06 19:06,P008,1277.44
U0278,page_view,2023-06-06 11:13,P024,1753.74
U0260,checkout,2023-06-06 11:00,P012,2006.3
U0198,page_view,2023-06-02 19:18,P016,1649.45
U0013,wishlist_add,2023-06-04 04:58,P027,1376.45
U0024,logout,2023-06-03 05:30,P023,643.39
U0286,wishlist_add,2023-06-06 08:00,P007,2091.89
U0389,add_to_cart,2023-06-04 16:48,P003,2735.86
U0145,profile_update,2023-06-05 16:15,P011,928.17
U0195,login,2023-06-05 11:32,P027,1723.5
U0154,checkout,2023-06-03 10:12,P001,632.71
U0032,page_view,2023-06-06 00:18,P014,1507.5
U0058,checkout,2023-06-03 23:34,P027,1105.04
U0203,add_to_cart,2023-06-05 22:12,P027,2951.47
U0011,wishlist_add,2023-06-05 20:12,P028,1195.31
U0167,search,2023-06-05 17:55,P023,2975.83
U0213,wishlist_add,2023-06-02 22:21,P006,2353.18
U0266,wishlist_add,2023-06-05 10:17,P029,2377.93
U0276,add_to_cart,2023-06-06 18:24,P024,1271.55
U0187,page_view,2023-06-05 12:36,P021,2704.26
U0340,wishlist_add,2023-06-05 19:28,P009,979.94
U0202,login,2023-06-03 22:46,P003,669.72
U0157,checkout,2023-06-05 03:37,P002,1388.02
U0152,login,2023-06-02 17:46,P009,683.5
U0042,page_view,2023-06-02 05:39,P002,1976.65
U0088,page_view,2023-06-05 20:24,P003,2193.55
U0014,checkout,2023-06-06 00:19,P012,899.1
U0342,logout,2023-06-05 21:53,P029,1147.55
U0203,wishlist_add,2023-06-04 00:56,P027,1947.61
U0210,page_view,2023-06-06 02:07,P016,1079.08
U0378,search,2023-06-03 11:13,P018,1094.66
U0047,wishlist_add,2023-06-02 19:30,P026,1991.05
U0384,profile_update,2023-06-06 00:31,P002,2788.83
U0176,add_to_cart,2023-06-05 16:48,P029,2829.72
U0395,profile_update,2023-06-02 08:13,P024,2364.53
U0318,page_view,2023-06-05 04:23,P002,554.93
U0077,logout,2023-06-01 22:13,P005,2983.48
U0280,wishlist_add,2023-06-06 11:54,P006,2532.86
U0014,page_view,2023-06-05 01:52,P008,662.85
U0124,checkout,2023-06-06 05:55,P014,2809.84
U0040,profile_update,2023-06-06 12:18,P016,2206.66
U0105,search,2023-06-04 17:36,P017,1177.06
U0249,profile_update,2023-06-03 05:40,P014,1302.89
U0262,search,2023-06-01 18:47,P024,2557.14
U0101,wishlist_add,2023-06-03 05:43,P030,616.67
U0372,checkout,2023-06-06 07:18,P019,1139.19
U0021,add_to_cart,2023-06-03 10:17,P025,2839.55
U0235,search,2023-06-03 22:39,P016,1702.74
U0289,search,2023-06-03 22:36,P005,1669.01
U0307,login,2023-06-02 09:35,P001,939.81
U0150,search,2023-06-02 03:29,P008,470.66
U0209,search,2023-06-06 13:11,P030,1724.93
U0323,logout,2023-06-01 08:04,P001,625.98
U0313,profile_update,2023-06-03 22:35,P023,304.46
U0187,profile_update,2023-06-01 11:54,P016,1234.88
U0117,login,2023-06-05 08:10,P020,267.13
U0017,profile_update,2023-06-03 05:08,P012,1865.75
U0010,search,2023-06-06 13:00,P002,1254.54
U0163,profile_update,2023-06-02 02:48,P012,1365.47
U0145,login,2023-06-06 01:53,P027,932.5
U0012,profile_update,2023-06-02 06:35,P029,2764.26
U0015,wishlist_add,2023-06-03 08:52,P004,2030.24
U0238,add_to_cart,2023-06-01 14:15,P016,2647.73
U0346,login,2023-06-06 08:03,P006,1876.33
U0098,checkout,2023-06-02 03:54,P017,2561.65
U0123,page_view,2023-06-03 06:37,P027,312.86
U0307,profile_update,2023-06-05 04:35,P015,1664.01
U0153,logout,2023-06-04 12:18,P027,1727.66
U0255,page_view,2023-06-01 17:48,P002,1834.87
U0039,logout,2023-06-05 19:47,P029,1543.55
U0019,profile_update,2023-06-04 21:00,P029,366.25
U0085,login,2023-06-01 23:36,P007,609.96
U0308,checkout,2023-06-02 05:03,P009,2631.23
U0400,logout,2023-06-01 16:43,P027,895.25
U0113,add_to_cart,2023-06-06 06:33,P022,1614.1
U0291,search,2023-06-03 15:58,P011,2793.34
U0331,add_to_cart,2023-06-04 05:07,P017,1096.12
U0230,login,2023-06-04 06:47,P008,675.92
U0292,profile_update,2023-06-04 05:30,P028,879.06
U0280,add_to_cart,2023-06-02 18:56,P001,917.03
U0250,wishlist_add,2023-06-04 00:24,P024,2483.6
U0357,wishlist_add,2023-06-06 12:26,P004,945.92
U0269,login,2023-06-04 00:36,P013,2561.86
U0339,add_to_cart,2023-06-04 07:39,P006,147.36
U0216,logout,2023-06-02 09:11,P017,2994.01
U0080,login,2023-06-04 16:50,P027,1642.91
U0388,add_to_cart,2023-06-05 11:07,P006,1772.55
U0384,logout,2023-06-01 14:23,P011,1408.49
U0282,checkout,2023-06-03 16:51,P022,656.72
U0246,profile_update,2023-06-05 12:06,P003,1044.73
U0199,page_view,2023-06-06 16:47,P014,1513.39
U0269,page_view,2023-06-02 13:44,P024,1984.41
U0396,add_to_cart,2023-06-02 03:42,P015,1051.67
U0045,login,2023-06-02 10:50,P010,2850.12
U0324,login,2023-06-01 17:50,P028,992.72
U0046,checkout,2023-06-03 07:55,P019,2773.79
U0320,page_view,2023-06-02 22:44,P007,2722.57
U0227,page_view,2023-06-04 07:10,P006,1702.09
U0307,wishlist_add,2023-06-02 22:46,P012,2804.69
U0336,profile_update,2023-06-05 04:11,P023,1791.87
U0116,add_to_cart,2023-06-02 13:27,P009,2677.38
U0294,login,2023-06-05 12:01,P014,2690.08
U0033,search,2023-06-05 06:41,P030,2266.77
U0206,login,2023-06-03 01:54,P015,2772.4
U0012,search,2023-06-05 19:14,P027,2089.6
U0101,search,2023-06-03 17:19,P010,1664.42
U0096,logout,2023-06-04 11:08,P025,2326.66
U0392,page_view,2023-06-01 16:28,P018,1555.41
U0385,page_view,2023-06-04 15:55,P025,2763.18
U0383,checkout,2023-06-01 17:12,P014,238.02
U0165,checkout,2023-06-06 17:46,P028,125.36
U0297,wishlist_add,2023-06-04 10:26,P008,2533.16
U0248,logout,2023-06-06 16:16,P014,1498.7
U0192,profile_update,2023-06-02 13:45,P018,2545.69
U0008,logout,2023-06-06 17:27,P007,651.23
U0161,login,2023-06-05 19:51,P007,2716.87
U0308,login,2023-06-05 13:15,P006,527.89
U0350,logout,2023-06-06 14:29,P027,558.75
U0081,search,2023-06-04 09:06,P015,488.78
U0203,logout,2023-06-04 10:28,P023,1460.25
U0036,add_to_cart,2023-06-02 13:56,P010,2294.73
U0019,checkout,2023-06-04 11:40,P022,2149.41
U0099,page_view,2023-06-06 18:16,P001,1546.27
U0075,add_to_cart,2023-06-02 00:20,P020,885.17
U0012,checkout,2023-06-04 21:51,P017,2935.34
U0335,login,2023-06-04 08:00,P030,2720.23
U0382,logout,2023-06-05 10:15,P019,731.97
U0064,profile_update,2023-06-02 02:59,P025,2530.29
U0007,page_view,2023-06-02 14:06,P011,1591.4
U0182,search,2023-06-06 10:19,P026,318.63
U0385,page_view,2023-06-05 06:38,P010,471.44
U0143,wishlist_add,2023-06-05 15:08,P028,2592.39
U0036,wishlist_add,2023-06-03 05:50,P008,1920.37
U0132,page_view,2023-06-04 18:04,P009,1879.49
U0124,search,2023-06-02 19:39,P007,2374.79
U0273,add_to_cart,2023-06-01 23:14,P021,2111.26
U0018,checkout,2023-06-04 20:58,P007,1204.46
U0029,checkout,2023-06-02 14:08,P011,1766.85
U0099,checkout,2023-06-01 12:38,P011,1269.79
U0155,page_view,2023-06-05 02:22,P018,2352.99
U0055,checkout,2023-06-05 12:24,P011,349.99
U0388,profile_update,2023-06-01 10:37,P012,2179.23
U0313,profile_update,2023-06-03 09:29,P022,1288.79
U0382,checkout,2023-06-04 16:38,P015,2928.35
U0123,profile_update,2023-06-04 01:08,P013,1661.57
U0359,wishlist_add,2023-06-02 12:27,P018,1593.37
U0129,profile_update,2023-06-01 12:18,P009,2164.56
U0293,profile_update,2023-06-03 21:26,P013,836.74
U0041,add_to_cart,2023-06-05 11:34,P006,1224.35
U0059,wishlist_add,2023-06-04 04:33,P027,1233.09
U0256,add_to_cart,2023-06-05 09:04,P025,2589.5
U0178,add_to_cart,2023-06-02 06:02,P014,2160.46
U0342,checkout,2023-06-03 19:44,P013,2196.49
U0065,wishlist_add,2023-06-05 00:11,P028,298.22
U0198,profile_update,2023-06-02 06:05,P006,1175.8
U0160,wishlist_add,2023-06-02 09:55,P006,2471.81
U0023,logout,2023-06-06 08:50,P012,1429.68
U0201,search,2023-06-02 17:29,P002,1709.63
U0104,page_view,2023-06-04 15:28,P008,1429.51
U0115,add_to_cart,2023-06-05 04:21,P005,2361.07
U0078,add_to_cart,2023-06-03 17:13,P011,2743.28
U0268,search,2023-06-05 16:34,P011,1740.79
U0152,page_view,2023-06-03 00:23,P027,1227.04
U0365,wishlist_add,2023-06-02 10:14,P019,1732.38
U0050,login,2023-06-01 13:47,P011,220.81
U0067,search,2023-06-01 18:43,P026,172.4
U0141,logout,2023-06-06 04:28,P015,2928.49
U0053,logout,2023-06-05 23:29,P010,176.3
U0366,logout,2023-06-04 07:36,P005,654.16
U0122,add_to_cart,2023-06-05 18:05,P024,1507.99
U0185,login,2023-06-01 16:00,P019,1061.97
U0302,login,2023-06-03 19:33,P013,918.24
U0279,page_view,2023-06-02 00:31,P026,529.28
U0395,login,2023-06-02 00:41,P030,918.25
U0148,login,2023-06-02 13:46,P015,2637.74
U0156,wishlist_add,2023-06-04 17:14,P024,1978.14
U0368,add_to_cart,2023-06-06 12:25,P001,2237.22
U0319,add_to_cart,2023-06-05 00:52,P010,1075.83
U0188,login,2023-06-02 04:41,P030,1857.76
U0023,add_to_cart,2023-06-04 08:03,P030,1900.62
U0078,checkout,2023-06-04 21:31,P025,594.83
U0312,login,2023-06-02 01:08,P017,556.1
U0154,wishlist_add,2023-06-02 06:13,P020,1441.72
U0024,search,2023-06-02 11:00,P008,2856.8
U0138,profile_update,2023-06-01 17:16,P014,2947.68
U0189,wishlist_add,2023-06-02 00:13,P030,501.66
U0198,page_view,2023-06-03 00:22,P001,2257.33
U0126,checkout,2023-06-04 03:53,P011,188.77
U0080,search,2023-06-02 22:25,P013,2627.84
U0238,profile_update,2023-06-04 06:42,P028,2287.7
U0133,checkout,2023-06-03 05:07,P024,1913.72
U0243,login,2023-06-05 06:19,P012,1519.71
U0161,profile_update,2023-06-06 15:05,P001,605.13
U0304,profile_update,2023-06-05 01:00,P012,289.43
U0132,checkout,2023-06-03 21:28,P016,2025.29
U0008,logout,2023-06-04 15:45,P021,640.92
U0346,login,2023-06-06 02:08,P019,1731.68
U0373,search,2023-06-02 10:38,P028,1823.95
U0224,profile_update,2023-06-05 02:11,P017,1540.9
U0104,logout,2023-06-06 19:36,P008,474.5
